idx,abstract,true_domain,predicted_domain,true_area,predicted_area
9,Advances in sequencing technologies continue to provide unprecedented opportunities to characterize microbial communities. For example. the Pacific Biosciences Single Molecule Real-Time (SMRT) platform has emerged as a unique approach harnessing DNA polymerase activity to sequence template molecules. enabling long reads at low costs. With the aim to simultaneously classify and enumerate in situ microbial populations. we developed a quantitative SMRT (qSMRT) approach that involves the addition of exogenous standards to quantify ribosomal amplicons derived from environmental samples. The V7-9 regions of 18S SSU rDNA were targeted and quantified from protistan community samples collected in the Ross Sea during the Austral summer of 2011. We used three standards of different length and optimized conditions to obtain accurate quantitative retrieval across the range of expected amplicon sizes. a necessary criterion for analyzing taxonomically diverse 18S rDNA molecules from natural environments. The ability to concurrently identify and quantify microorganisms in their natural environment makes qSMRT a powerful. rapid and cost-effective approach for defining ecosystem diversity and function. (C) 2017 Elsevier B.V. All rights reserved....,biochemistry,biochemistry,Polymerase chain reaction,DNA/RNA sequencing
10,1A6/DRIM is a nucleolar protein with a nucleolar targeting sequence in its 3'-terminus. Bioinformatic analysis indicated that human 1A6/ DRIM shares 23% identity and 43% similarity with yeast Utp20. which has been reported as a component of U3 snoRNA protein complex and has been implicated in 18S rRNA processing. In the present study. we found. by utilizing RT-PCR with RNA extracted from anti-1A6/DRIM inummoprecipitates and Northern blotting. that 1A6/DRIM is associated with U3 snoRNA. Pulse-chase labeling assays showed that silencing of 1A6/DRIM expression in HeLa cells resulted in a delayed 18S rRNA processing. Furthermore. immunoprecipitations revealed that 1A6/DRIM was also associated with fibrillarin. another U3 RNP component in HeLa cells. These results indicate that 1A6/DRIM is involved in 18S rRNA processing and is the bona fide mammalian Utp20. (c) 2007 Elsevier B.V. All rights reserved....,biochemistry,biochemistry,Northern blotting,Northern blotting
11,Aims: 22q11.2 deletion syndrome (22q11.2DS) is a neurogenetic condition associated with an increased risk of developing schizophrenia. Previous studies have shown that negative symptoms represent the most specific clinical characteristic of psychosis in 22q11.2DS and are strongly associated with outcome. However. the psychological mechanisms associated with these symptoms in this population are poorly understood. In accordance with recent conceptualizations in the field of schizophrenia. the present study aims at investigating whether negative symptoms are associated with the presence of negative performance beliefs and cognitive deficits. Methods: Thirty-five participants with 22q11.2DS and 24 typically developing individuals aged between 11 and 24 years were included in the study. Self-reported schizotypal symptoms (cognitive-perceptual. paranoid. negative and disorganization symptoms) and dysfunctional beliefs (negative performance beliefs and need for approval) were assessed. Measures of processing speed. verbal memory. working memory. executive functioning and face recognition-were also extracted from a broad cognitive evaluation protocol. Results: Adolescents with 22q11.2DS reported significantly higher score on the negative dimension of the Schizotypal Personality Questionnaire than controls. even when controlling for the influence of anxiety/depression and intellectual functioning. Negative and paranoid symptoms were associated with the severity of negative performance beliefs and lower face recognition abilities. Mediation analyses revealed that negative performance beliefs significantly mediated the association between face recognition and negative/paranoid symptoms. Conclusions: These findings suggest that negative performance beliefs and basic social cognitive mechanisms are associated with negative and paranoid symptoms in individuals with 22q11.2DS. Implications for intervention are discussed in this article....,Psychology,Psychology,Social cognition,Social cognition
12,Background: Chromosome 22q11.2 deletion syndrome (22q11.2DS) is a neurogenetic disorder that is associated with a 25-fold increase in schizophrenia. Both individuals with 22q11.2DS and those with schizophrenia present with social cognitive deficits. which are putatively subserved by a network of brain regions that are involved in the processing of social cognitive information. This study used two-tensor tractography to examine the white matter tracts believed to underlie the social brain network in a group of 57 young adults with 22q11.2DS compared to 30 unaffected controls. Results: Results indicated that relative to controls. participants with 22q11.2DS showed significant differences in several DTI metrics within the inferior fronto-occipital fasciculus. cingulum bundle. thalamo-frontal tract. and inferior longitudinal fasciculus. In addition. participants with 22q11.2DS showed significant differences in scores on measures of social cognition. including the Social Responsiveness Scale and Trait Emotional Intelligence Questionnaire. Further analyses among individuals with 22q11.2DS demonstrated an association between DTI metrics and positive and negative symptoms of psychosis. as well as differentiation between individuals with 22q11.2DS and overt psychosis. relative to those with positive prodromal symptoms or no psychosis. Conclusions: Findings suggest that white matter disruption. specifically disrupted axonal coherence in the right inferior fronto-occipital fasciculus. may be a biomarker for social cognitive difficulties and psychosis in individuals with 22q11.2DS....,Psychology,Medical,Social cognition,Schizophrenia
13,Through the comprehensive analysis of the genomic DNA sequence of human chromosome 22. we identified a novel gene of 702 kb encoding a big protein of 2481 amino acid residues. and named it as TPRBK (TPR containing big gene cloned at Keio). A novel protein TPRBK possesses 25 units of the TPR motif. which has been known to associate with a diverse range of biological functions. Orthologous genes of human TPRBK were found widely in animal species. from insecta to mammal. but not found in plants. fungi and nematoda. Northern blotting and RT-PCR analyses revealed that TPRBK gene is expressed ubiquitously in the human and mouse fetal tissues and various cell lines of human. monkey and mouse. lmmunofluorescent staining of the synchronized monkey COS-7 cells with several relevant antibodies indicated that TPRBK changes its subcellular localization during the cell cycle: at interphase TPRBK locates on the centrosomes. during mitosis it translocates from spindle poles to mitotic spindles then to spindle midzone. and through a period of cytokinesis it stays on the midbody. Co-immunoprecipitation assay and immunofluorescent staining with adequate antibodies revealed that TPRBK binds to Aurora B. and those proteins together translocate throughout mitosis and cytokinesis. Treatments of cells with two drugs (Blebbistatin and Y-27632). that are known to inhibit the contractility of actin-myosin. disturbed the proper intracellular localization of TPRBK. Moreover. the knockdown of TPRBK expression by small interfering RNA (siRNA) suppressed the bundling of spindle midzone microtubules and disrupted the midbody formation. arresting the cells at G(2) + M phase. These observations indicated that a novel big protein TPRBK is essential for the formation and integrity of the midbody. hence we postulated that TPRBK plays a critical role in the progress of mitosis and cytokinesis during mammalian cell cycle. (C) 2012 Elsevier B.V. All rights reserved....,biochemistry,biochemistry,Northern blotting,Northern blotting
14,Graphene and other two-dimensional materials have received considerable attention regarding their potential applications in nano-electronics. Here. we report top-gate nonvolatile memory field-effect transistors (FETs) with different layers of MoSe2 nanosheets channel gated by ferroelectric film. The conventional gate dielectric of FETs was replaced by a ferroelectric thin film that provides a ferroelectric polarization electric field. and therefore defined as an Fe-FET where the poly (vinylidene fluoride-trifluoroethylene) (P(VDF-TrFE)) was used as the gate dielectric. Among the devices with MoSe2 channels of different thicknesses. the device with a single layer of MoSe2 exhibited a large hysteresis of electronic transport with an over 10(5) write/erase ratio. and displayed excellent retention and endurance performance. The possible mechanism of the device's good properties was qualitatively analyzed using band theory. Additionally. a comprehensive study comparing the memory properties of MoSe2 channels of different thicknesses is presented. Increasing the numbers of MoSe2 layers was found to cause a reduced memory window. However. MoSe2 thickness of 5 nm yielded a write/erase ratio of more than 10(3). The results indicate that. based on a Fe-FET structure. the combination of two-dimensional semiconductors and organic ferroelectric gate dielectrics shows good promise for future applications in nonvolatile ferroelectric memory....,Psychology,ECE,Attention,Electricity
15,Relationships between the abundance of potential geosmin- and 2-methylisoborneol-producing (2-MIB) cyanobacteria and bacteria. and concentrations of the two taste and odour compounds (T&Os) were examined in a 7 day incubation of natural water from the surface and bottom of three reservoirs in southeast Queensland. Australia. Only a single known T&O-producing cyanobacterium (Geitlerinema spp.) was detected by microscopy at low density. and only in one reservoir. Densities of potential T&O-producing Streptomyces (determined by quantitative polymerase chain reaction (qPCR) assay) were highest in the bottom water and varied from 0.7 x 10(3) to 775 x 10(3) cells L-1. Geosmin ranged from 6 to 59 ng L-1 (with the highest concentrations in the bottom water). while 2-MIB varied from 6 to 47 ng L-1 (with the highest concentration in surface water). Concentrations of both compounds declined during the incubation under both light and dark conditions. Presence of the geosmin synthase gene. geoA. in cyanobacteria and Streptomyces was examined by different PCR approaches. Cloning of PCR products from amplification of geoA showed a high similarity to geoA in cyanobacteria. but not to streptomycetes. Our results demonstrate that more research on the ecology and molecular biology of T&O producers is required to better understand the dynamics of T&Os and to monitor emerging T&O episodes....,biochemistry,biochemistry,Molecular biology,Molecular biology
16,We have carried out animal toxicity tests of chemicals for a chemical safety program implemented by the Ministry of Economy. Trade. and Industry of Japan. Here. we tested 1-tert-butoxy-4-chlorobenzene in a combined repeat-dose and developmental and reproductive toxicity test. The test chemical was administered daily by gavage to 9-week-old Crl:CD (SD) rats at doses of 0. 20. 100. and 500 mg/kg/d. Males were treated for 42 d beginning 14 d before mating. Females were treated from 14 d before mating to day 4 of lactation. Decreased spontaneous locomotion. decreased respiratory rate. and incomplete eyelid opening were observed at 500 mg/kg/d (both sexes). but resolved within 30 min of administration. suggesting central nervous system depression. No notable changes were observed in body weight. food consumption. functional battery tests. or blood test. Increased liver weight with centrilobular or diffuse hepatocyte hypertrophy was observed at 100 and 500 mg/kg/d (both sexes). There were no biochemical or histopathological changes related to hepatotoxicity. Increased kidney weight with basophilic tubules. tubule dilatation. and increased hyaline droplets were observed in males dosed at 100 and 500 mg/kg/d. Immunohistochemical staining indicated alpha(2u)-globulin nephropathy. a male rat-specific toxicity. Although kidney weight was also increased in females dosed at 500 mg/kg/d. it was not considered to be an adverse effect because there were no histopathological changes. Pup weights on postnatal day 0 were decreased at 500 mg/kg/d and still decreased on postnatal day 4. Our data indicated the no-observed-adverse-effect-level for repeated-dose and reproductive/developmental toxicity for 1-tert-butoxy-4-chlorobenzene was 100 mg/kg/d....,Psychology,Medical,Depression,Atopic Dermatitis
17,The mu-opioid receptor (MOR) plays a mandatory role in the action of most opioid drugs. such as morphine. fentanyl. and heroin. it has been revealed that a deficiency in the MOR gene (Oprm 1) or a difference in the 3' noncoding region of the gene markedly affects the sensitivity of mice to opioids. As the 3' noncoding region of the human OPRM1 gene had not yet been characterized. in the present study we conducted 3'-rapid amplification of cDNA ends (3'RACE)-PCR and identified the 3' end of the human MOR-1 mRNA. the most abundant transcript among OPRM1 gene transcripts. The poly(A) signal was located at 13612-13617 nucleotides downstream from the stop codon in the OPRM1 gene. Reverse transcription PCR analyses showed that the region from the stop codon to the poly(A) signal was transcribed. In the 3' UTR. we identified 33 AU-rich regions and more than 300 putative transcription factor-binding sites. Furthermore. we compared the 3' noncoding regions of the human and mouse OPRM1/Oprm1] genes and found apparent homology. In Northern blotting with mouse brain mRNAs. a same-size band was detected by a probe for the MOR-1 coding region and by a probe for a mouse genome region corresponding to the human MOR-1 3'UTR. Since 3'UTRs affect gene expression. the present characterization of the 3' noncoding region in the human OPRM1 gene should lead to a better understanding of the mechanisms underlying OPRM1 gene regulation and individual differences in sensitivity to opioids. Published by Elsevier B.V....,biochemistry,biochemistry,Northern blotting,Polymerase chain reaction
18,An integrated electronic-photonic phase-locked loop (PLL) modulates the frequency of a tunable laser for use in frequency-modulated continuous-wave (FMCW) lidar 3D imaging. The proposed lidar can perform 180k range measurements per second. The rms depth precision is 8 mu m at distances of +/- 5 cm from the range baseline. The range window is 1.4 m. with a precision of 4.2 mm at the edges of the window. Optical circuitry. including input light couplers. waveguides. and photodiodes. is realized on a 3 mm x 3 mm silicon-photonic chip. The 0.18-mu m CMOS ASIC of the same area comprises the frontend transimpedance amplifier. analog electro-optical PLL. and digital control circuitry consuming 1.7 mA from a 1.8 V supply and 14.1 mA from a 5-V supply. The latter includes 12.5-mA bias current for the distributed Bragg reflector section of the tunable laser. The two chips are integrated using through-silicon-vias implemented in the silicon-photonic chip....,ECE,ECE,Digital control,Analog signal processing
19,3D printing has shown promise for neural regeneration by providing customized nerve scaffolds to structurally support and bridge the defect gap as well as deliver cells or various bioactive substances. Low-level light therapy (LLLT) exhibits positive effects on rehabiliation of degenerative nerves and neural disorders. With this in mind. we postulate that 3D printed neural scaffold coupling with LLLT will generate a new strategy to repair neural degeneration. To achieve this goal. we applied red laser light to stimualte neural stem cells on 3D printed scaffolds and investigated the subsequent cell response with respect to cell proliferation and differentiation. Here we show that cell prolifeartion rate and intracellular reactive oxgen species synthesis were significantly increased after 15 s laser stimulation follwed by 1 d culture. Over culturing time of 14 d in vitro. the laser stimulation promoted neuronal differentiation of neural stem cells. while the glial differentiation was suppressed based on results of both immunocytochemistry studies and real-time quantitative reverse transcription polymerase chain reaction testing. These findings suggest that integration of 3D printing and LLLT might provide a powerful methodology for neural tissue engineering....,biochemistry,Medical,Polymerase chain reaction,Multiple Sclerosis
20,With the advances of stem cell research. development of intelligent biomaterials and three-dimensional biofabrication strategies. highly mimicked tissue or organs can be engineered. Among all the biofabrication approaches. bioprinting based on inkjet printing technology has the promises to deliver and create biomimicked tissue with high throughput. digital control. and the capacity of single cell manipulation. Therefore. this enabling technology has great potential in regenerative medicine and translational applications. The most current advances in organ and tissue bioprinting based on the thermal inkjet printing technology are described in this review. including vasculature. muscle. cartilage. and bone. In addition. the benign side effect of bioprinting to the printed mammalian cells can be utilized for gene or drug delivery. which can be achieved conveniently during precise cell placement for tissue construction. With layer-by-layer assembly. three-dimensional tissues with complex structures can be printed using converted medical images. Therefore. bioprinting based on thermal inkjet is so far the most optimal solution to engineer vascular system to the thick and complex tissues. Collectively. bioprinting has great potential and broad applications in tissue engineering and regenerative medicine. The future advances of bioprinting include the integration of different printing mechanisms to engineer biphasic or triphasic tissues with optimized scaffolds and further understanding of stem cell biology....,ECE,biochemistry,Digital control,Cell biology
21,3-mercaptopyruvate sulfurtransferase (3-MST) was a novel hydrogen sulfide (H2S)-synthesizing enzyme that may be involved in cyanide degradation and in thiosulfate biosynthesis. Over recent years. considerable attention has been focused on the biochemistry and molecular biology of H2S-synthesizing enzyme. In contrast. there have been few concerted attempts to investigate the changes in the expression of the H2S-synthesizing enzymes with disease states. To investigate the changes of 3-MST after traumatic brain injury (TBI) and its possible role. mice TBI model was established by controlled cortical impact system. and the expression and cellular localization of 3-MST after TBI was investigated in the present study. Western blot analysis revealed that 3-MST was present in normal mice brain cortex. It gradually increased. reached a peak on the first day after TBI. and then reached a valley on the third day. Importantly. 3-MST was colocalized with neuron. In addition. Western blot detection showed that the first day post injury was also the autophagic peak indicated by the elevated expression of LC3. Importantly. immunohistochemistry analysis revealed that injury-induced expression of 3-MST was partly colabeled by LC3. However. there was no colocalization of 3-MST with propidium iodide (cell death marker) and LC3 positive cells were partly colocalized with propidium iodide. These data suggested that 3-MST was mainly located in living neurons and may be implicated in the autophagy of neuron and involved in the pathophysiology of brain after TBI....,biochemistry,biochemistry,Molecular biology,Enzymology
22,Oxidative stress is closely involved in neurodegenerative diseases. The present study aimed to examine the effect of anti-oxidant DHM (dihydromyricetin) on 3NP (3-nitropropionic acid) -induced behavioral deficits of experimental rats and striatal histopathological injury by using behavioral. imaging. biochemistry. histochemistry and molecular biology technologies. The experimental results showed that both motor dysfunctions and learning and memory impairments induced by 3NP were significantly reduced after DHM treatment. 3NP-induced striatal metabolic abnormality was also remarkably improved by DHM treatment. showed as the increased glucose metabolism in PET/CT scan. decreased MDA (malondialdehyde) and increased SOD (superoxide dismutase) activity in enzyme histochemical staining. In addition. the cell apoptosis was evidently detected in the striatum of the 3NP group. while in the 3NP + DHM group. the number of apoptotic cells was remarkably reduced. 3NP treatment obviously induced down-regulation of Bcl-2. and up-regulations of Bax and Cleaved Caspase-3. while these changes were significantly reversed by DHM treatment. The present results suggested that DHM showed its protective effect by anti-oxidant and anti-apoptosis mechanisms....,biochemistry,Medical,Molecular biology,Parkinson's Disease
23,The 45 degrees beam splitting mirror plays a vital role on image quality in the Holographic system. in order to study the influence of environment temperature variation on the 45 degrees beam splitting mirror in the Holographic system. finite element analysis method is used to simulate the anti-three through seven mirror deformation at 27 degrees C. 28 degrees C and 29 degrees C temperature in theory. A new real-time monitoring and displaying photoelectric system for ambient temperature and beam splitting mirror distortion detection is designed to provide real-time temperature change and deformation detection. which is made up of laser speckle interferometer. chip temperature sensor. two-operational amplifier. MCU and LED indicator. And the out-plane displacement value measured in the experiment under the condition of temperature correspondingly are 406nm. 420nm and 427 nm. Finally. the relation equation of temperature and mirror deformation is established by the method of exponential equation fitting. which will provide preliminary theoretical and experimental reference for further research....,ECE,ECE,Operational amplifier,Operational amplifier
